id,message
1,"Hey, don’t tell your parents about our chat"
2,"You’re really mature for a 14-year-old"
3,"Wanna meet alone next week?"
4,"You’re so special, I won’t tell anyone"
5,"Let’s keep this between us"
6,"I’ve never felt like this with anyone your age"
7,"You can trust me, I won't hurt you"
8,"Don’t show our messages to anyone, okay?"
9,"We don’t need anyone else knowing about us"
10,"Can you send me a picture? Just for me"
11,"Hi, just checking how your homework is going"
12,"You're so beautiful for your age"
13,"Tell me more about your family, I want to know everything"
14,"If you tell anyone, we can’t talk anymore"
15,"Hey, I really like your photos, you're so mature for your age!"
16,"Let's keep this between us, I have something to tell you."
17,"I won't tell anyone, I promise."
18,"We should meet alone sometime, just you and me, or I will hurt you."
19,"You're so beautiful for your age, I can't believe it!"
20,"If you tell anyone, we can't talk anymore, okay?"
21,"This is our little secret, no one needs to know."
22,"Hey, can you send me a picture of what you're wearing?"
23,"You're so smart for your age, no one else would understand."
24,"Don't tell anyone, but I think you're really mature for your age."
25,"Let's just keep this between us, okay?"
26,"Trust me, I can keep secrets. No one will know."
27,"I know you're a little younger, but I really like you."
28,"You can tell me anything, I won’t tell a soul."
29,"We should go out just the two of us, you and me alone."
30,"I want to meet you in person, just the two of us."
31,"It won't hurt, just trust me."
32,"We can talk without anyone knowing, it’ll be our secret."
33,"You're so cute, no one will understand us if we meet."
34,"Don’t share this with anyone, it’s just for us to know."
36,"You're so special, I won't tell anyone."
37,"I can keep secrets, just between us."

